2G58A	3	S	0.000000
2G58A	5	L	10.249132
2G58A	11	C	5.853322
3CTAA	1	C	2.912134
3CTAA	5	S	4.823754
3CTAA	7	C	3.862726
3CTAA	13	C	11.011619
3CTAA	17	S	5.943682
3CTAA	21	L	0.698377
2G9WA	1	C	7.213399
2G9WA	4	S	3.352395
2G9WA	6	C	10.770516
2G9WA	12	C	4.501279
2G9WA	14	C	12.881767
2G9WA	16	C	5.281659
2BUOA	1	C	5.546197
2BUOA	3	K	30.841150
2BUOA	5	C	17.131916
2BUOA	7	S	3.229191
1BOUA	1	S	0.000000
1BOUA	3	S	0.000000
1BOUA	5	S	5.059474
1BOUA	7	C	9.619573
1BOUA	9	S	0.000000
1BOUA	11	L	0.951423
1BOUA	13	S	0.000000
1BOUA	15	C	19.212383
1BOUA	17	S	3.046137
1BOUA	19	L	0.515763
1HXIA	1	C	5.762474
1HXIA	3	C	5.489949
1HXIA	5	C	4.694402
1HXIA	7	C	11.557632
1HXIA	9	C	7.445001
1QNTA	7	C	6.300945
1QNTA	9	S	0.000000
1QNTA	11	C	3.857661
1QNTA	14	S	1.886653
1QNTA	16	S	6.080549
1QNTA	20	C	5.090034
1XKPC	1	L	3.073152
1XKPC	13	L	11.044505
1XKPC	19	L	9.482115
1XKPB	1	C	4.586761
1XKPB	9	C	9.451807
1XKPB	15	C	8.415718
1XKPA	5	S	4.192407
1XKPA	8	C	14.179241
1XKPA	10	L	10.674898
1XKPA	12	C	2.155043
1XKPA	14	C	7.616658
1XKPA	16	K	86.108314
1XKPA	18	C	8.040428
1XKPA	20	C	5.227899
1XKPA	22	C	5.524047
1XKPA	24	C	14.783451
2A6CA	1	C	7.564155
2A6CA	3	S	8.370173
2A6CA	5	S	5.610446
2A6CA	7	L	9.433651
1Q8CA	1	L	6.767882
1Q8CA	3	C	6.831156
1Q8CA	5	K	65.161768
1Q8CA	7	C	5.339675
1Q8CA	9	C	6.081994
3DBYA	1	C	8.339030
3DBYA	3	C	11.084916
3DBYA	5	C	13.690521
3DBYA	7	C	12.868422
3DBYA	9	K	23.822160
3DBYA	11	C	8.310194
3DBYA	13	C	7.277639
3DBYA	15	C	4.632937
2A9UA	1	S	0.000000
2A9UA	3	C	6.953620
2A9UA	5	C	6.701830
2A9UA	7	S	0.000000
2A9UA	9	S	1.771491
2A9UA	11	C	13.218855
1WMGA	1	C	10.356317
1WMGA	3	S	8.641244
1WMGA	5	S	0.000000
1WMGA	7	C	7.888271
1WMGA	9	C	10.158629
1WMGA	11	L	9.303924
1PI1A	1	S	0.000000
1PI1A	3	C	7.944844
1PI1A	9	C	6.210676
1PI1A	11	K	43.449605
1PI1A	13	C	4.593427
1PI1A	15	S	0.000000
2A6TA	1	C	8.847953
2A6TA	3	C	6.623199
2A6TA	5	S	0.000000
2A6TA	7	C	17.344689
2A6TA	9	S	0.000000
2A6TA	11	C	8.708773
2A6TA	19	L	6.031590
2A6TA	27	C	11.187713
1S4KA	1	C	7.282676
1S4KA	3	S	5.714016
1S4KA	5	C	5.656244
1S4KA	7	C	10.600907
1S4KA	11	S	0.000000
1S4KA	13	C	5.820261
1TX4B	3	C	9.029370
1TX4B	11	L	2.011809
1TX4B	13	S	5.791231
1TX4B	17	C	3.694907
1TX4B	19	C	5.771165
1TX4B	23	L	11.984903
1GKZA	5	C	14.951045
1GKZA	7	S	0.000000
1GKZA	9	C	5.678454
1GKZA	11	C	12.643471
1GKZA	13	C	4.317628
1GKZA	15	C	6.509138
1GKZA	21	C	15.138906
1GKZA	27	L	14.942746
1GKZA	33	C	1.727544
1NO1A	1	C	6.960487
1NO1A	3	C	7.069495
1NO1A	5	C	7.221632
1UNFX	1	S	11.746223
1UNFX	3	L	4.200290
1UNFX	5	C	5.200863
1UNFX	7	C	11.326262
1UNFX	9	L	7.420083
1UNFX	11	L	4.272704
1UNFX	19	S	0.000000
1UNFX	21	C	11.784650
1UNFX	23	C	5.377724
2AV0A	1	S	0.000000
2AV0A	3	C	12.149547
2AV0A	5	C	13.817269
2AV0A	7	L	8.445267
2AV0A	9	C	8.914131
2AV0A	11	S	0.000000
2AV0A	13	L	5.242463
2AV0A	15	C	12.240745
1DPJA	11	S	0.000000
1DPJA	19	S	0.000000
1DPJA	23	S	5.102780
1DPJA	39	C	7.982258
1DPJA	57	S	0.000000
1ED1A	1	S	2.426157
1ED1A	3	C	4.829621
1ED1A	5	C	3.603861
1ED1A	7	C	5.733319
1ED1A	9	L	5.975191
1US7A	3	C	7.204027
1US7A	5	C	9.379128
1US7A	11	L	5.961397
1US7A	13	L	4.306078
1US7A	23	C	2.970377
1US7B	1	K	75.253601
1US7B	3	C	2.629253
1US7B	5	C	9.750735
1US7B	7	C	14.400123
1US7B	9	L	11.324147
1US7B	11	C	10.556787
1US7B	13	S	12.742559
1US7B	15	S	0.000000
1US7B	17	C	14.561946
2O7TA	1	C	4.318904
2O7TA	3	S	0.594969
2O7TA	5	S	5.173448
2O7TA	7	C	5.378788
2O7TA	9	C	12.744388
2O7TA	11	K	22.658409
2O7TA	13	C	7.365564
2O7TA	15	C	4.365443
2O7TA	17	C	7.402197
2B8UA	1	C	4.059695
2B8UA	5	C	6.679954
2B8UA	7	S	0.000000
2B8UA	9	C	7.482715
2B8UA	12	C	4.683997
2NN4A	1	C	8.045876
2NN4A	3	C	5.051596
2NN4A	5	C	6.420125
1YCQA	3	C	6.112569
1YCQA	5	C	6.957418
1YCQA	9	S	0.000000
1YCQA	13	L	5.720218
1EM9A	5	C	8.853347
1EM9A	7	L	4.474387
1EM9A	9	C	10.243301
1EM9A	11	C	8.690272
1EM9A	13	S	0.000000
1EM9A	15	S	6.271162
1EM9A	17	C	6.193329
1HU3A	1	C	7.599438
1HU3A	3	S	11.581962
1HU3A	5	C	7.468611
1HU3A	7	L	8.193587
1HU3A	9	K	22.281079
1HU3A	11	C	10.513088
1HU3A	13	C	7.431542
1HU3A	15	K	62.137284
1HU3A	17	L	7.194654
1HU3A	19	C	12.737213
1S0PA	1	K	30.004401
1S0PA	3	C	12.795095
1S0PA	6	S	9.452346
1S0PA	8	C	8.217396
1S0PA	10	S	6.240749
1S0PA	12	K	26.475013
1S0PA	14	C	9.019538
1EE8A	1	C	14.850505
1EE8A	21	S	0.000000
1EE8A	23	C	6.545595
1EE8A	25	S	3.886766
1EE8A	27	L	12.192698
1EE8A	29	C	10.051811
1R1UA	1	C	5.794518
1R1UA	3	C	3.401620
1R1UA	5	S	0.996429
1R1UA	7	C	6.360293
1R1UA	13	C	3.047716
1SJ7A	1	C	11.133027
1SJ7A	3	C	8.297005
1SJ7A	5	C	14.782495
1SJ7A	7	C	9.464925
1SJ7A	9	C	11.692653
1K3YA	3	L	4.283971
1K3YA	7	C	4.253685
1K3YA	13	C	7.997365
1K3YA	15	C	10.419517
1K3YA	17	K	52.237097
1K3YA	19	C	9.355146
1K3YA	21	C	10.290460
1K3YA	23	L	4.233278
1K3YA	25	S	8.311208
1K3YA	27	C	4.743480
1S3JA	1	K	22.863375
1S3JA	3	U	4.792557
1S3JA	6	S	7.063409
1S3JA	8	C	9.801570
1S3JA	14	K	22.070691
1S3JA	16	C	7.793376
1N81A	1	C	5.757029
1N81A	3	S	0.000000
1N81A	5	L	6.101123
1N81A	7	C	11.511996
1N81A	9	C	14.887847
1N81A	11	S	7.707214
1N81A	13	C	8.859852
1N81A	15	C	7.852324
1K6YA	1	C	3.854803
1K6YA	3	S	10.256245
1K6YA	5	C	9.616595
1K6YA	13	C	6.509406
1K6YA	17	C	4.536429
1K6YA	21	C	11.407409
1K6YA	23	C	9.268174
1K6YA	25	C	12.461138
2HTNA	1	C	11.303883
2HTNA	3	C	7.791930
2HTNA	5	C	10.775881
2HTNA	7	C	10.546119
2HTNA	9	S	0.000000
2OH3A	1	C	5.914780
2OH3A	3	C	8.196783
2OH3A	5	C	9.353341
2OH3A	7	C	12.243169
2E2RA	1	S	2.121992
2E2RA	3	C	12.572833
2E2RA	5	K	37.702489
2E2RA	11	S	0.000000
2E2RA	13	C	8.463531
2E2RA	15	C	9.383033
2E2RA	17	C	11.888073
2E2RA	19	S	0.000000
2E2RA	21	C	10.862383
2E2RA	23	S	8.523159
1XEQA	1	C	9.492712
1XEQA	3	C	10.172864
1XEQA	5	C	8.542912
2E1FA	1	C	8.179509
2E1FA	3	S	0.000000
2E1FA	5	C	7.127431
2E1FA	7	S	0.000000
2E1FA	9	S	0.000000
2E1FA	11	C	4.893548
1H7CA	1	C	8.154390
1H7CA	3	K	39.924247
1H7CA	5	C	7.539922
1H7CA	7	L	6.810498
1EVSA	1	C	3.858922
1EVSA	3	S	5.342280
1EVSA	5	S	0.000000
1EVSA	7	S	0.000000
1EVSA	9	C	10.047306
1EVSA	11	S	0.000000
1EVSA	13	K	26.686789
1EVSA	15	C	9.018940
2ES9A	1	C	8.570360
2ES9A	3	C	6.237929
2ES9A	5	C	8.006242
2ES9A	7	C	5.266717
2ES9A	9	L	8.736990
2Q37A	1	S	2.751157
2Q37A	3	C	9.766136
2Q37A	5	C	3.835672
2Q37A	7	S	0.000000
2Q37A	9	C	12.317133
2Q37A	11	C	6.479660
2Q37A	13	C	8.403254
1B4AA	1	C	8.974053
1B4AA	3	C	5.204903
1B4AA	5	C	13.042858
1B4AA	11	C	5.956748
1B4AA	16	C	8.816310
1B4AA	22	C	8.236115
2A0BA	1	S	0.000000
2A0BA	3	C	8.435757
2A0BA	5	K	21.462660
2A0BA	7	C	8.449672
2A0BA	9	C	5.279051
2A0BA	11	K	50.791998
2AL6A	5	C	5.410020
2AL6A	11	C	5.497435
2AL6A	15	S	0.000000
2AL6A	17	C	8.927690
2AL6A	19	L	8.046555
2AL6A	21	C	9.260434
2AL6A	23	S	0.000000
2AL6A	25	C	7.831475
2AL6A	27	C	9.093349
2AL6A	43	C	8.058928
1G8EA	1	C	8.392032
1G8EA	3	S	19.185707
1G8EA	5	S	3.685442
1G8EA	7	S	1.157304
1G8EA	11	S	4.961643
1G8EA	13	L	7.090830
1QLSA	1	C	8.253794
1QLSA	3	S	7.624450
1QLSA	5	S	0.000000
1QLSA	7	C	5.511224
1QLSA	9	C	7.262089
1QHDA	1	L	7.681841
1QHDA	3	C	4.482679
1QHDA	9	C	17.898964
1QHDA	11	S	0.000000
1QHDA	13	C	8.104812
1QHDA	37	S	0.000000
1QHDA	41	C	5.510110
1QHDA	43	S	0.000000
1QHDA	45	C	5.408766
1D2ZB	1	C	7.806744
1D2ZB	3	S	7.209150
1D2ZB	5	S	0.000000
1D2ZB	7	S	0.000000
1D2ZB	9	C	13.631989
1D2ZB	11	C	12.055465
1D2ZB	13	C	6.068162
1D2ZB	15	C	8.730556
1D2ZA	1	C	9.804474
1D2ZA	3	S	1.086459
1D2ZA	5	C	10.328919
1D2ZA	7	C	14.852501
1D2ZA	9	L	5.233329
